Team,Team Score,Opponent,Opponent Score
Wichita St,80,Tulsa,53
Abilene Chr,65,New Hampshire,57
Akron,72,American Univ,62
Arkansas St,78,Georgetown,72
Auburn,85,E Kentucky,64
BYU,96,Coppin St,59
Charlotte,76,East Carolina,64
Clemson,95,Davidson,78
Col Charleston,60,Boise St,47
Colorado,89,ULM,70
Connecticut,65,Loy Marymount,62
Denver,74,San Jose St,69
Elon,74,South Florida,61
Florida,73,St Bonaventure,66
G Washington,61,Ark Pine Bluff,41
Georgia,84,Furman,78
Grambling,59,NC A&T,55
Lafayette,84,NJIT,83
Louisville,88,Long Beach St,56
Massachusetts,70,Temple,67
Michigan,79,Marquette,61
Northern Iowa,82,Arizona St,63
Ohio St,72,Providence,67
Oklahoma,89,Tulane,70
Oregon,76,Valparaiso,54
Rutgers,66,DePaul,59
Sam Houston St,91,Southern Univ,83
Seton Hall,91,Iowa,83
SMU,76,Pittsburgh,67
St Louis,74,E Illinois,69
Stanford,67,Weber St,49
Tennessee Tech,95,Alabama A&M,61
Texas,85,E Washington,52
UAB,74,Troy,51
UCF,86,Mississippi St,61
UCLA,88,San Diego,68
UNC Asheville,73,SC Upstate,57
Villanova,76,W Michigan,65
Wake Forest,103,UTEP,81
Washington,104,CS Fullerton,88
Wisconsin,69,Chicago St,51
Xavier,83,Missouri,82
Yale,89,Lehigh,81
Alabama,77,Ball St,59
Arizona,95,Sacred Heart,65
Arizona St,80,Tulane,71
Arkansas,71,UT Arlington,67
Austin Peay,77,N Kentucky,69
Baylor,81,FL Gulf Coast,72
Boston Univ,65,Northeastern,63
Bradley,84,SE Missouri St,78
Canisius,78,Duquesne,77
Citadel,116,Stetson,112
Creighton,103,Washington St,77
Davidson,70,Missouri,55
Delaware,68,Miami OH,66
Drexel,87,Hartford,73
E Michigan,76,Gardner Webb,68
Florida St,100,Winthrop,86
Fordham,68,F Dickinson,55
Gonzaga,109,Bryant,70
High Point,63,UNC Greensboro,57
Idaho,65,Ark Little Rock,57
Illinois,89,Detroit,69
IUPUI,77,Howard,55
Jacksonville,79,Youngstown St,54
Kansas,86,Siena,65
LSU,78,North Florida,70
Manhattan,80,Hofstra,68
Michigan,76,SMU,54
Michigan St,100,MS Valley St,53
Minnesota,92,St John's,86
Mississippi,95,Oral Roberts,88
Mississippi St,80,Boise St,68
Montana St,80,James Madison,73
Mt St Mary's,78,George Mason,76
N Dakota St,66,Navy,59
NC Central,84,Jackson St,75
NC State,85,Montana,72
Nevada,83,Oregon St,58
New Mexico,72,New Mexico St,59
North Carolina,83,Hawaii,68
Northern Iowa,73,Oklahoma,67
Notre Dame,83,Loyola MD,48
Ohio,67,Georgia Tech,61
Pittsburgh,78,Marquette,75
Purdue,64,Georgia St,56
S Illinois,101,Edwardsville,83
South Alabama,69,Florida Intl,64
South Carolina,92,S Carolina St,50
St Joseph's PA,71,Loyola-Chicago,57
St Peter's,90,Lipscomb,77
Syracuse,71,Monmouth NJ,50
TCU,79,Jacksonville St,60
TN Martin,85,Cleveland St,74
UCF,60,Col Charleston,40
USC,65,Texas A&M,63
Utah,94,Coppin St,51
UTEP,85,W Michigan,75
VA Commonwealth,81,Binghamton,42
Vanderbilt,75,Norfolk St,52
Villanova,96,Wake Forest,77
Xavier,83,Clemson,77
Arkansas St,60,Army,57
Belmont,90,WKU,69
Boston Univ,102,Maine,78
Butler,86,Bucknell,60
BYU,81,Coastal Car,65
Chattanooga,75,Cent Arkansas,64
CS Bakersfield,77,Santa Barbara,70
CS Northridge,84,N Illinois,82
Duke,78,Penn St,68
E Illinois,73,W Illinois,64
Evansville,69,Morehead St,56
F Dickinson,90,Lipscomb,72
Fairfield,70,Wagner,64
Fordham,63,St Peter's,41
Fresno St,83,Lamar,64
Gardner Webb,94,Howard,78
Grand Canyon,82,Albany NY,77
High Point,69,Navy,62
Indiana,87,Liberty,48
IPFW,94,MA Lowell,81
IUPUI,83,E Michigan,71
Jacksonville,78,Florida Intl,75
Long Island,78,Northeastern,74
Loyola-Chicago,78,Oral Roberts,53
Marist,87,Brown,79
Marshall,98,W Carolina,63
Memphis,99,Savannah St,86
Miami FL,74,Penn,62
Miami OH,76,Austin Peay,70
Missouri KC,71,Bowling Green,69
Morgan St,82,Campbell,66
Murray St,93,WI Green Bay,77
N Kentucky,74,Delaware,53
Nebraska,65,Louisiana Tech,54
NJIT,74,Colgate,68
Oakland,107,Chicago St,79
Providence,71,Grambling,54
Rhode Island,76,Cincinnati,71
Rice,100,NE Omaha,87
Santa Clara,88,N Colorado,72
SC Upstate,79,Charleston So,77
South Alabama,84,Youngstown St,75
South Florida,70,Rider,65
St Mary's CA,61,Dayton,57
Tennessee St,74,MTSU,63
Texas Tech,90,E Kentucky,71
Toledo,82,Wright St,78
Tulsa,77,New Orleans,68
TX Southern,77,La Salle,76
UC Irvine,72,Pacific,65
UMBC,93,Kennesaw,85
UNC Greensboro,65,N Dakota St,54
UNLV,77,CS Fullerton,68
UT San Antonio,69,Prairie View,59
Utah St,85,Idaho St,51
Virginia Tech,88,VMI,72
Washington St,87,Montana,63
William & Mary,89,Presbyterian,59
Wyoming,77,S Dakota St,67
Air Force,87,Florida A&M,62
Akron,88,Radford,41
Albany NY,80,Brown,76
Arkansas St,73,Chattanooga,67
Austin Peay,76,Delaware,75
Boise St,91,W Michigan,70
Boston College,82,Stony Brook,75
Boston Univ,86,Long Island,69
Cent Arkansas,81,Army,76
Cincinnati,71,Penn St,50
Cornell,82,Lafayette,75
Creighton,112,NC State,94
Davidson,68,Arizona St,60
DePaul,77,WI Milwaukee,59
Drexel,83,North Texas,62
Duke,75,Rhode Island,65
East Carolina,73,Stetson,50
Florida St,100,Detroit,71
Fordham,85,Lipscomb,69
Grand Canyon,84,Marist,72
Iowa,95,UTRGV,67
Iowa St,130,Citadel,63
Kansas St,89,Hampton,67
Kentucky,93,Duquesne,59
Lehigh,76,Princeton,67
Maryland,71,Towson,66
Massachusetts,68,Holy Cross,60
Mercer,80,Ga Southern,67
Michigan St,78,FL Gulf Coast,77
Mississippi,81,St Joseph's PA,68
Mississippi St,61,UTEP,54
Missouri,67,Tulane,62
Missouri KC,85,Murray St,74
N Dakota St,70,High Point,44
N Kentucky,79,Miami OH,70
Nevada,91,Iona,76
New Mexico St,89,Bethune-Cookman,73
Northeastern,80,Maine,72
Oklahoma,70,Clemson,64
Richmond,81,Robert Morris,69
Rutgers,78,Niagara,65
Sam Houston St,78,Tennessee Tech,71
San Diego,81,Nicholls St,72
South Alabama,71,Jacksonville,58
St Peter's,84,F Dickinson,58
Stanford,56,Colorado St,49
Temple,88,Manhattan,67
UCLA,114,Long Beach St,77
UNC Asheville,92,Siena,80
UNC Greensboro,72,Navy,59
UNC Wilmington,68,ETSU,59
Villanova,67,UCF,57
Virginia,62,Yale,38
Wake Forest,78,Col Charleston,61
Washington,92,Northern Arizona,58
West Virginia,100,New Hampshire,41
WI Green Bay,77,Bowling Green,61
Wichita St,116,MD E Shore,79
Xavier,67,Northern Iowa,59
Youngstown St,78,Florida Intl,73
Arizona,71,N Colorado,55
Ark Little Rock,68,St Bonaventure,65
Ball St,79,Coppin St,77
Bowling Green,78,Murray St,77
Bucknell,75,Vanderbilt,72
Butler,91,Norfolk St,55
BYU,92,St Louis,62
C Michigan,88,Pepperdine,77
Coastal Car,83,Southern Utah,68
Columbia,86,Quinnipiac,78
Creighton,86,Mississippi,77
E Illinois,71,Troy,67
E Washington,81,Bryant,77
Florida,78,Belmont,61
Georgetown,65,Oregon,61
Georgia,81,G Washington,73
Hofstra,92,Bradley,90
Houston,93,George Mason,56
Idaho,96,S Dakota St,89
Kansas,83,UAB,63
Liberty,84,MA Lowell,77
Long Island,71,Maine,66
Loyola-Chicago,88,Washington St,79
Marshall,71,Jackson St,61
Montana,68,Oral Roberts,47
NC State,73,St Joseph's PA,63
Northwestern,77,Texas,58
Notre Dame,89,Colorado,83
Ohio St,66,W Carolina,38
Oklahoma St,98,Connecticut,90
Providence,64,St Francis NY,48
Rice,83,Montana St,78
S Illinois,73,Mt St Mary's,63
Samford,66,Campbell,53
San Diego St,77,California,65
Santa Clara,84,Sacred Heart,74
Seattle,81,ULM,75
South Dakota,80,Kent,77
Southern Miss,63,Alabama A&M,55
TAM C. Christi,73,Texas St,69
TCU,80,Illinois St,71
TN Martin,72,Canisius,69
TX Southern,67,James Madison,56
UC Davis,81,CS Sacramento,72
ULL,83,Delaware St,82
Valparaiso,68,Alabama,60
Vermont,60,Wofford,59
WI Green Bay,95,Missouri KC,77
Winthrop,84,Illinois,80
Wisconsin,74,Tennessee,62
Air Force,85,Stetson,72
Akron,75,Ga Southern,67
Arkansas St,75,Edwardsville,57
Auburn,67,Texas Tech,65
Boston College,80,Towson,70
Bradley,70,Wofford,62
Bryant,64,ULM,57
Charleston So,66,Abilene Chr,65
Colorado,68,Texas,54
CS Bakersfield,71,Fresno St,63
E Kentucky,91,Idaho St,82
E Washington,80,Seattle,76
East Carolina,82,Florida A&M,62
FL Atlantic,78,South Florida,62
George Mason,79,Kent,75
Georgia St,74,NJIT,53
Georgia Tech,81,Sam Houston St,73
Holy Cross,63,Harvard,52
Houston,85,South Dakota,58
IPFW,71,Indiana,68
Kansas,65,Georgia,54
Kansas St,61,Robert Morris,40
Kennesaw,79,Alabama St,72
Lamar,78,UT San Antonio,58
MA Lowell,76,MS Valley St,71
Marquette,104,IUPUI,79
Maryland,77,Stony Brook,63
Memphis,104,McNeese St,65
Mercer,58,Radford,47
Minnesota,85,Arkansas,71
Monmouth NJ,76,Cornell,61
MTSU,80,Toledo,70
New Mexico St,86,Nicholls St,74
North Carolina,107,Oklahoma St,75
Notre Dame,70,Northwestern,66
Oregon,69,Tennessee,65
Pacific,73,Wyoming,65
Penn,87,Central Conn,65
Pepperdine,66,Ark Little Rock,65
Pittsburgh,75,Yale,70
Presbyterian,77,VMI,67
Purdue,85,Utah St,64
Richmond,65,Hampton,52
San Diego,96,Bethune-Cookman,91
SC Upstate,108,Charlotte,103
SE Missouri St,83,UTRGV,72
SMU,84,Santa Barbara,57
Southern Univ,80,Tennessee Tech,68
St Bonaventure,102,C Michigan,71
St Mary's CA,81,San Jose St,64
Syracuse,101,S Carolina St,59
Tulsa,75,Oregon St,64
UAB,81,G Washington,74
UNC Asheville,64,Furman,58
UNLV,110,Northern Arizona,71
USC,88,New Orleans,54
Vermont,87,Hofstra,73
Virginia,90,Grambling,34
WKU,77,NC A&T,56
Wagner,73,American Univ,65
Washington,94,Long Beach St,88
Wisconsin,73,Georgetown,57
Alabama,62,St Louis,57
Appalachian St,70,Hartford,61
Arizona St,127,Citadel,110
Ark Little Rock,91,C Michigan,79
Army,88,Columbia,83
Ball St,94,Southern Utah,83
Baylor,71,VA Commonwealth,63
Brown,81,Morgan St,75
Cal Poly SLO,68,N Illinois,64
Cincinnati,70,Samford,55
Colorado St,76,MD E Shore,65
DePaul,68,Missouri St,66
Duke,88,William & Mary,67
Elon,91,IL Chicago,80
FL Gulf Coast,69,Binghamton,53
Fordham,73,Rider,62
George Mason,77,Bradley,66
Georgia St,82,E Kentucky,65
Hofstra,65,South Dakota,57
Houston,72,Vermont,71
Kent,66,Wofford,59
Kentucky,101,Cleveland St,70
Liberty,70,MS Valley St,55
Louisville,68,Old Dominion,62
Loyola MD,81,Fairfield,66
Michigan St,73,St John's,62
Navy,78,UMBC,66
Nevada,82,Oakland,78
New Hampshire,86,Detroit,70
Niagara,93,Drexel,74
NJIT,71,Idaho St,67
North Carolina,71,Wisconsin,56
Ohio St,78,Jackson St,47
Oklahoma St,97,Georgetown,70
Oregon,79,Connecticut,69
Penn St,72,Colgate,59
Princeton,71,Lafayette,55
Purdue,96,Auburn,71
Rice,80,Delaware St,58
Rutgers,66,North Texas,53
San Francisco,79,Troy,67
SE Louisiana,72,UTEP,56
Siena,66,Ark Pine Bluff,43
South Carolina,61,Michigan,46
St Bonaventure,89,Pepperdine,63
St Francis PA,87,Longwood,72
Tennessee St,72,Canisius,58
Texas Tech,75,Utah St,51
TN Martin,66,Duquesne,63
ULL,82,James Madison,70
UT Arlington,80,Mt St Mary's,71
Utah Valley,88,Denver,85
Valparaiso,92,BYU,89
Villanova,63,Col Charleston,47
Wake Forest,86,Coastal Car,74
Wichita St,82,LSU,47
Arizona,69,Santa Clara,61
Baylor,73,Michigan St,58
Binghamton,72,Long Beach St,64
Bucknell,84,Norfolk St,58
Butler,76,Vanderbilt,66
Florida,81,Seton Hall,76
Gonzaga,82,Quinnipiac,62
Iona,64,Drake,53
Iowa St,73,Indiana St,71
Louisville,62,Wichita St,52
LSU,66,Old Dominion,60
Miami FL,67,Stanford,53
Mississippi,86,Montana,81
N Colorado,81,Sacred Heart,59
Nebraska,80,Dayton,78
Temple,89,Florida St,86
Texas A&M,95,CS Northridge,73
UCLA,99,Portland,77
VA Commonwealth,75,St John's,69
Virginia Tech,92,New Mexico,72
Weber St,86,UC Davis,58
West Virginia,89,Illinois,57
Akron,84,Air Force,75
Baylor,66,Louisville,63
Boise St,82,Presbyterian,56
Bucknell,75,N Colorado,63
Butler,69,Arizona,65
California,71,Wyoming,61
Clemson,83,High Point,74
Colorado St,67,SE Louisiana,59
Dayton,84,Portland,74
Elon,85,N Illinois,80
ETSU,86,WI Milwaukee,62
FL Gulf Coast,68,Long Beach St,67
Florida St,72,Illinois,61
Fresno St,63,Oregon St,58
Ga Southern,83,Florida A&M,72
Georgia,77,Gardner Webb,59
Gonzaga,77,Florida,72
Grand Canyon,70,Coppin St,37
Holy Cross,73,S Carolina St,57
IL Chicago,84,Cal Poly SLO,71
Iona,76,Weber St,54
Iowa St,73,Miami FL,56
Jacksonville St,61,CS Fullerton,38
Kansas,95,UNC Asheville,57
Kansas St,72,Boston College,54
Kentucky,111,TN Martin,76
Lamar,91,Prairie View,83
Lehigh,87,Mississippi St,73
Loy Marymount,78,Portland St,62
Maryland,88,Richmond,82
Mercer,70,East Carolina,66
Michigan St,77,Wichita St,72
Minnesota,57,S Illinois,45
MTSU,68,UNC Wilmington,63
Nevada,67,Buffalo,62
New Mexico,105,CS Northridge,89
Nicholls St,76,Bethune-Cookman,69
North Florida,76,North Dakota,75
North Texas,80,Niagara,71
Northern Arizona,71,Alabama St,57
Northwestern,86,Bryant,66
Ohio,68,Tennessee Tech,57
Ohio St,111,Marshall,70
Oklahoma,72,Abilene Chr,64
Old Dominion,63,St John's,55
Pittsburgh,76,Morehead St,63
Providence,60,Memphis,51
Radford,80,Stetson,66
Rhode Island,82,Belmont,73
Robert Morris,62,Hampton,48
Rutgers,77,Hartford,75
Sacred Heart,61,Norfolk St,59
Sam Houston St,69,Idaho,62
Seton Hall,90,Quinnipiac,79
St Francis NY,97,Savannah St,91
Stanford,65,Indiana St,62
TCU,63,UNLV,59
Temple,81,West Virginia,77
Texas A&M,68,Virginia Tech,65
Texas Tech,91,Idaho St,58
Toledo,83,Evansville,79
Towson,88,Stony Brook,63
Troy,65,Hawaii,63
UTRGV,101,Grambling,93
UC Davis,64,Drake,58
UC Irvine,63,S Dakota St,52
UCLA,82,Nebraska,71
USC,78,SMU,73
UT San Antonio,63,Texas St,48
Utah,85,UC Riverside,67
VA Commonwealth,85,LSU,74
Vanderbilt,76,Santa Clara,66
Virginia,74,Iowa,41
Washington,86,WKU,47
Wright St,68,CS Bakersfield,64
Akron,65,Mercer,63
Alabama St,76,CS Fullerton,67
Bowling Green,90,Morgan St,58
Buffalo,74,Weber St,72
C Michigan,89,WI Green Bay,77
Campbell,67,VMI,53
Canisius,90,Youngstown St,84
Chattanooga,88,Kennesaw,71
Cincinnati,91,Lipscomb,68
Columbia,81,Colgate,78
Creighton,82,Loyola MD,52
CS Bakersfield,77,North Florida,54
Davidson,79,Charlotte,57
Duke,93,Appalachian St,58
E Illinois,72,South Alabama,62
E Michigan,94,NE Omaha,77
E Washington,85,Denver,80
East Carolina,70,Air Force,63
Edwardsville,61,IUPUI,58
Elon,72,Cal Poly SLO,66
ETSU,71,S Dakota St,59
Fairfield,75,Army,74
Ga Southern,65,Radford,64
George Mason,80,James Madison,77
Georgia Tech,82,Tulane,68
Grambling,110,Savannah St,104
Houston,83,Cornell,53
Iona,75,Nevada,73
IPFW,79,MS Valley St,54
Jacksonville,66,NC A&T,49
Jacksonville St,76,Northern Arizona,63
Long Island,82,MA Lowell,78
Manhattan,84,Detroit,81
Marist,75,Dartmouth,69
Marquette,101,Houston Bap,79
Maryland,69,Kansas St,68
Massachusetts,70,Harvard,66
Memphis,100,Iowa,92
Miami OH,81,W Illinois,72
Michigan,64,Mt St Mary's,47
Missouri,84,Northwestern LA,60
Monmouth NJ,86,S Carolina St,62
Montana St,91,Delaware St,66
MTSU,73,Toledo,70
Murray St,91,Alabama A&M,54
N Illinois,92,IL Chicago,81
Navy,70,Penn,68
NC Central,82,N Kentucky,74
NC State,79,Loyola-Chicago,77
New Mexico St,56,San Diego,51
Notre Dame,91,Chicago St,60
Oakland,79,UC Davis,66
Penn St,74,G Washington,68
Purdue,79,NJIT,68
Rice,87,Incarnate Word,79
Richmond,67,Boston College,54
Rider,70,Wagner,67
Robert Morris,67,Towson,66
Samford,93,Bethune-Cookman,65
San Francisco,77,CS Sacramento,59
South Carolina,64,Syracuse,50
St Francis PA,69,American Univ,62
Stetson,98,Florida A&M,90
Stony Brook,76,Hampton,66
TCU,93,Washington,80
UTRGV,71,St Francis NY,61
UCF,67,Seattle,51
UNC Wilmington,65,Evansville,62
UNLV,71,WKU,61
UT Arlington,67,Fordham,63
Utah Valley,114,BYU,101
Vermont,67,Yale,65
Virginia,63,Providence,52
W Carolina,58,Jackson St,47
W Michigan,80,Cent Arkansas,63
WI Milwaukee,54,UC Irvine,37
William & Mary,79,Liberty,70
Wright St,83,North Dakota,79
Xavier,64,Northern Iowa,42
